BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,BDCAIREAGUA,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR,SPLITUNIDADEXTERIOR
SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS5_EQ1_EQ_ED_AireAgua_BDC-ACS-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS6_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS2_EQ1_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS3_EQ2_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto,SIS4_EQ3_EQ_ED_UnidadExterior-Defecto
ConsumoACS,ConsumoCAL,ConsumoREF,Energía Suministrada,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef,conCal,conRef,potCal,potTotRef
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Consumo horario en W asociado a refrigeración,Energía Suministrada en W,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración,Consumo horario eléctrico en W para producir calefacción,Consumo horario eléctrico en W para producir refrigeración,Potencia horaria entregada W para calefacción,Potencia horaria entregada W para refrigeración
Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad,Electricidad
691.72 ,  0.00 ,  0.00 , 2629.89 ,  0.00 , 2780.55 ,  0.00 , 8934.99 ,  0.00 , 3040.96 ,  0.00 , 11577.23 ,  0.00 , 3081.57 ,  0.00 , 11940.92 ,  0.00 , 3013.32 ,  0.00 , 11320.07 
584.24 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 3111.44 ,  0.00 , 11120.40 ,  0.00 , 3414.67 ,  0.00 , 13601.61 ,  0.00 , 3460.74 ,  0.00 , 13944.47 ,  0.00 , 3391.03 ,  0.00 , 13419.26 
579.40 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 3591.95 ,  0.00 , 13871.95 ,  0.00 , 3991.81 ,  0.00 , 16501.36 ,  0.00 , 4044.68 ,  0.00 , 16823.49 ,  0.00 , 3986.03 ,  0.00 , 16463.26 
481.75 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 3838.29 ,  0.00 , 15155.88 ,  0.00 , 4277.69 ,  0.00 , 17813.03 ,  0.00 , 4331.37 ,  0.00 , 18116.44 ,  0.00 , 4289.04 ,  0.00 , 17875.45 
479.62 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 4174.58 ,  0.00 , 16473.88 ,  0.00 , 4655.33 ,  0.00 , 19115.67 ,  0.00 , 4710.31 ,  0.00 , 19400.27 ,  0.00 , 4674.92 ,  0.00 , 19214.79 
381.73 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
286.71 ,  0.00 ,  0.00 , 1127.10 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
382.29 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
383.69 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
484.29 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
680.58 ,  0.00 ,  0.00 , 2629.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
586.93 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
590.13 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
497.23 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
500.85 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
101.08 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
105.17 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
317.50 ,  0.00 ,  0.00 , 1127.10 ,  0.00 , 2336.79 ,  0.00 , 8020.30 ,  0.00 , 2744.94 ,  0.00 , 13081.69 ,  0.00 , 2892.63 ,  0.00 , 14538.83 ,  0.00 , 2780.40 ,  0.00 , 13444.35 
1053.55 ,  0.00 ,  0.00 , 3756.98 ,  0.00 , 2145.36 ,  0.00 , 3129.23 ,  0.00 , 2163.22 ,  0.00 , 3777.74 ,  0.00 , 2177.40 ,  0.00 , 4212.45 ,  0.00 , 2147.85 ,  0.00 , 3235.81 
718.94 ,  0.00 ,  0.00 , 2629.89 ,  0.00 , 2348.16 ,  0.00 , 4728.69 ,  0.00 , 2420.84 ,  0.00 , 6165.75 ,  0.00 , 2449.56 ,  0.00 , 6647.36 ,  0.00 , 2395.84 ,  0.00 , 5712.39 
704.63 ,  0.00 ,  0.00 , 2629.89 ,  0.00 , 2636.76 ,  0.00 , 7424.64 ,  0.00 , 2919.33 ,  0.00 , 10600.56 ,  0.00 , 2977.73 ,  0.00 , 11152.96 ,  0.00 , 2907.95 ,  0.00 , 10488.00 
602.01 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 2966.25 ,  0.00 , 10285.04 ,  0.00 , 3270.62 ,  0.00 , 12918.57 ,  0.00 , 3312.15 ,  0.00 , 13241.71 ,  0.00 , 3243.64 ,  0.00 , 12702.22 
596.71 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 3247.98 ,  0.00 , 11583.41 ,  0.00 , 3575.33 ,  0.00 , 14027.31 ,  0.00 , 3619.59 ,  0.00 , 14330.18 ,  0.00 , 3549.27 ,  0.00 , 13843.93 
496.87 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 3487.16 ,  0.00 , 12994.01 ,  0.00 , 3861.07 ,  0.00 , 15495.19 ,  0.00 , 3907.09 ,  0.00 , 15780.31 ,  0.00 , 3850.95 ,  0.00 , 15430.55 
496.48 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 3574.84 ,  0.00 , 13195.14 ,  0.00 , 3953.84 ,  0.00 , 15643.27 ,  0.00 , 3998.58 ,  0.00 , 15911.83 ,  0.00 , 3941.00 ,  0.00 , 15563.89 
397.52 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
296.96 ,  0.00 ,  0.00 , 1127.10 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
396.57 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
396.57 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
500.51 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
710.58 ,  0.00 ,  0.00 , 2629.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
614.21 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
622.76 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
526.87 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
534.67 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
109.31 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
116.97 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
358.19 ,  0.00 ,  0.00 , 1127.10 ,  0.00 , 1756.17 ,  0.00 , 943.49 ,  0.00 , 1775.92 ,  0.00 , 2496.22 ,  0.00 , 1801.94 ,  0.00 , 3789.05 ,  0.00 , 1773.79 ,  0.00 , 2424.10 
1184.37 ,  0.00 ,  0.00 , 3756.98 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 1757.89 ,  0.00 , 170.46 ,  0.00 , 1757.57 ,  0.00 , 289.19 ,  0.00 , 1758.25 ,  0.00 , 57.03 
809.81 ,  0.00 ,  0.00 , 2629.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 1841.88 ,  0.00 , 146.44 ,  0.00 , 1841.32 ,  0.00 , 307.33 ,  0.00 , 1842.26 ,  0.00 , 88.16 
787.74 ,  0.00 ,  0.00 , 2629.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 , 1963.41 ,  0.00 , 422.55 ,  0.00 , 1963.46 ,  0.00 , 712.73 ,  0.00 , 1963.64 ,  0.00 , 328.36 
659.06 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 2087.29 ,  0.00 , 427.68 ,  0.00 , 2094.25 ,  0.00 , 1626.14 ,  0.00 , 2103.61 ,  0.00 , 2247.66 ,  0.00 , 2095.68 ,  0.00 , 1735.16 
645.25 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 2227.98 ,  0.00 , 2158.79 ,  0.00 , 2332.10 ,  0.00 , 5120.98 ,  0.00 , 2363.89 ,  0.00 , 5713.68 ,  0.00 , 2305.14 ,  0.00 , 4556.53 
529.31 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 2425.04 ,  0.00 , 4948.05 ,  0.00 , 2643.57 ,  0.00 , 8132.05 ,  0.00 , 2698.47 ,  0.00 , 8757.32 ,  0.00 , 2647.23 ,  0.00 , 8174.94 
521.29 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 2728.16 ,  0.00 , 7768.53 ,  0.00 , 3075.00 ,  0.00 , 11141.53 ,  0.00 , 3101.72 ,  0.00 , 11363.35 ,  0.00 , 3050.79 ,  0.00 , 10935.99 
414.48 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
310.86 ,  0.00 ,  0.00 , 1127.10 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
413.03 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
415.17 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
524.96 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
735.58 ,  0.00 ,  0.00 , 2629.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
632.19 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
633.90 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
529.69 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
533.11 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
106.92 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
106.92 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
317.22 ,  0.00 ,  0.00 , 1127.10 ,  0.00 , 2130.75 ,  0.00 , 2833.95 ,  0.00 , 2279.67 ,  0.00 , 6537.83 ,  0.00 , 2358.35 ,  0.00 , 7814.99 ,  0.00 , 2256.17 ,  0.00 , 6106.10 
1042.33 ,  0.00 ,  0.00 , 3756.98 ,  0.00 , 2184.68 ,  0.00 , 2462.52 ,  0.00 , 2203.72 ,  0.00 , 3256.24 ,  0.00 , 2218.71 ,  0.00 , 3752.83 ,  0.00 , 2188.63 ,  0.00 , 2642.06 
726.44 ,  0.00 ,  0.00 , 2629.89 ,  0.00 , 2204.51 ,  0.00 , 1769.56 ,  0.00 , 2235.08 ,  0.00 , 3259.81 ,  0.00 , 2256.13 ,  0.00 , 3934.52 ,  0.00 , 2221.65 ,  0.00 , 2725.85 
723.28 ,  0.00 ,  0.00 , 2629.89 ,  0.00 , 2235.85 ,  0.00 , 1903.14 ,  0.00 , 2284.39 ,  0.00 , 3876.69 ,  0.00 , 2306.95 ,  0.00 , 4479.68 ,  0.00 , 2267.76 ,  0.00 , 3354.73 
618.36 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 2270.32 ,  0.00 , 2223.54 ,  0.00 , 2341.27 ,  0.00 , 4567.34 ,  0.00 , 2369.05 ,  0.00 , 5184.07 ,  0.00 , 2320.66 ,  0.00 , 4045.05 
615.20 ,  0.00 ,  0.00 , 2254.19 ,  0.00 , 2361.05 ,  0.00 , 3454.28 ,  0.00 , 2510.87 ,  0.00 , 6556.12 ,  0.00 , 2550.24 ,  0.00 , 7147.35 ,  0.00 , 2484.47 ,  0.00 , 6128.44 
510.07 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 2489.90 ,  0.00 , 5029.16 ,  0.00 , 2698.75 ,  0.00 , 8145.00 ,  0.00 , 2728.89 ,  0.00 , 8502.54 ,  0.00 , 2653.33 ,  0.00 , 7575.44 
508.79 ,  0.00 ,  0.00 , 1878.49 ,  0.00 , 2602.11 ,  0.00 , 6343.53 ,  0.00 , 2853.93 ,  0.00 , 9421.98 ,  0.00 , 2897.66 ,  0.00 , 9864.99 ,  0.00 , 2815.88 ,  0.00 , 9021.83 
409.11 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
306.83 ,  0.00 ,  0.00 , 1127.10 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
409.81 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
409.81 ,  0.00 ,  0.00 , 1502.79 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
514.46 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
723.35 ,  0.00 ,  0.00 , 2629.89 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
627.69 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
630.50 ,  0.00 ,  0.00 , 2254.19 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
529.72 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
535.15 ,  0.00 ,  0.00 , 1878.49 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
108.15 ,  0.00 ,  0.00 , 375.70 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 ,  0.00 
