CALDERA,CALDERA,CALDERA
SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto,SIS2_EQ1_EQ_Caldera-Biomasa-Defecto
ConsumoACS,ConsumoCAL,Energía Suministrada
Consumo horario en W asociado a ACS (prorrateando con la demanda),Consumo horario en W asociado a la calefacción (prorrateando con la demanda),Energía Suministrada en W
Biomasa no densificada,Biomasa no densificada,Biomasa no densificada
 0.00 , 1884.83 , 1280.40 
 0.00 , 2046.51 , 1392.66 
 0.00 , 2149.83 , 1464.60 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3959.94 , 2751.63 
 0.00 , 2604.30 , 1782.98 
 0.00 , 1895.72 , 1287.95 
 0.00 , 1968.11 , 1338.17 
 0.00 , 1490.12 , 1007.98 
 0.00 , 1318.88 , 890.50 
 0.00 , 1275.97 , 861.14 
 0.00 , 879.59 , 591.11 
2524.24 , 1174.14 , 3140.13 
 0.00 , 1804.94 , 1225.07 
 0.00 , 2336.09 , 1594.71 
 0.00 , 2257.54 , 1539.78 
 0.00 , 2391.50 , 1633.52 
 0.00 , 2467.97 , 1687.15 
 0.00 , 2539.41 , 1737.33 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1136.97 , 766.19 
 0.00 , 1888.86 , 1283.19 
 0.00 , 2024.66 , 1377.47 
 0.00 , 2146.49 , 1462.27 
 0.00 , 2315.65 , 1580.41 
 0.00 , 2426.99 , 1658.40 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4270.75 , 2977.82 
2621.25 , 2731.11 , 4316.18 
 0.00 , 1752.13 , 1188.55 
 0.00 , 1303.49 , 879.97 
 0.00 , 1092.36 , 735.77 
 0.00 , 772.13 , 518.30 
 0.00 , 664.56 , 445.58 
 0.00 , 913.15 , 613.89 
 0.00 , 1639.25 , 1110.63 
 0.00 , 2286.15 , 1559.78 
 0.00 , 2698.79 , 1849.57 
 0.00 , 2629.99 , 1801.07 
 0.00 , 2721.46 , 1865.57 
 0.00 , 2806.32 , 1925.52 
 0.00 , 2886.64 , 1982.37 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1864.01 , 1265.97 
 0.00 , 2115.87 , 1440.94 
 0.00 , 2194.11 , 1495.49 
 0.00 , 2258.95 , 1540.76 
 0.00 , 2371.18 , 1619.28 
 0.00 , 2424.34 , 1656.54 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4073.50 , 2834.09 
 0.00 , 3421.34 , 2363.34 
 0.00 , 3356.57 , 2316.95 
 0.00 , 3174.15 , 2186.66 
 0.00 , 2809.87 , 1928.03 
 0.00 , 2282.10 , 1556.95 
 0.00 , 2055.37 , 1398.82 
 0.00 , 2350.57 , 1604.85 
2524.24 , 2676.16 , 4186.70 
 0.00 , 2913.55 , 2001.43 
 0.00 , 3061.18 , 2106.24 
 0.00 , 2869.35 , 1970.12 
 0.00 , 2918.08 , 2004.64 
 0.00 , 2918.69 , 2005.08 
 0.00 , 2972.53 , 2043.26 
 0.00 ,  0.00 ,  0.00 
 0.00 ,  0.00 ,  0.00 
 0.00 , 1780.80 , 1208.38 
 0.00 , 2072.14 , 1410.49 
 0.00 , 2193.51 , 1495.07 
 0.00 , 2305.18 , 1573.08 
 0.00 , 2410.88 , 1647.10 
 0.00 , 2512.20 , 1718.21 
 0.00 , 6282.13 , 4480.00 
 0.00 , 4149.93 , 2889.71 
2621.25 , 2525.41 , 4170.39 
 0.00 , 1595.39 , 1080.41 
 0.00 , 899.96 , 604.94 
 0.00 , 483.00 , 323.23 
 0.00 , 146.29 , 97.55 
 0.00 , 291.60 , 194.74 
 0.00 , 423.40 , 283.16 
 0.00 , 924.15 , 621.36 
 0.00 , 1736.00 , 1177.41 
 0.00 , 2206.65 , 1504.24 
 0.00 , 2136.92 , 1455.60 
 0.00 , 2223.52 , 1516.02 
 0.00 , 2354.75 , 1607.77 
 0.00 , 2430.47 , 1660.83 
2590.58 ,  0.00 , 2409.24 
 0.00 ,  0.00 ,  0.00 
 0.00 , 748.02 , 501.99 
 0.00 , 1662.07 , 1126.37 
 0.00 , 1739.69 , 1179.96 
 0.00 , 1800.67 , 1222.12 
 0.00 , 1906.84 , 1295.66 
 0.00 , 1953.84 , 1328.27 
 0.00 , 6282.13 , 4480.00 
 0.00 , 3545.97 , 2452.78 
 0.00 , 3388.81 , 2340.03 
 0.00 , 3272.86 , 2257.10 
 0.00 , 2902.71 , 1993.75 
 0.00 , 2665.43 , 1826.04 
